Sorszám,Erő,Küzdőképesség,Gumimaci pontszám
1,95,87,8.1
2,78,85,8.3
3,83,88,8.0
4,91,86,8.1
5,89,84,7.9
6,82,85,8.4
7,88,86,8.6
8,93,87,8.2
9,80,84,7.8
10,87,85,7.7
11,84,83,8.2
12,79,84,8.3
13,90,87,8.1
14,92,88,8.8
15,85,86,7.7
16,81,84,7.9
17,86,87,8.0
18,94,88,7.6
19,77,85,8.2
20,83,86,8.1
21,89,87,7.9
22,82,86,8.4
23,91,88,8.3
24,79,85,7.8
25,88,87,8.7
26,95,88,8.1
27,83,85,8.5
28,84,86,8.0
29,87,87,8.2
30,78,84,7.9
31,92,88,8.3
32,90,87,8.6
33,79,86,7.7
34,88,87,8.2
35,85,84,8.1
36,91,88,8.0
37,82,86,8.5
38,83,85,7.8
39,94,88,8.3
40,86,87,8.2
41,80,84,7.9
42,89,87,8.0
43,81,86,8.4
44,77,85,7.7
45,93,88,8.2
46,84,86,8.1
47,82,85,8.6
48,88,87,8.3
49,85,84,7.8
50,90,88,8.1
