Szuperhősök,Anti-hősök,Mellékszereplők,Főgonoszok
8.1,8.3,8.0,8.0
7.9,8.1,7.8,8.1
8.0,8.2,7.7,7.9
8.2,8.0,7.9,8.2
8.3,8.4,7.8,8.0
8.0,8.1,7.7,8.1
8.1,8.3,8.0,8.0
7.9,8.1,7.8,8.1
8.0,8.2,7.7,7.9
8.2,8.0,7.9,8.2
8.3,8.4,7.8,8.0
8.0,8.1,7.7,8.1
8.1,8.3,8.0,8.0
7.9,8.1,7.8,8.1
8.0,8.2,7.7,7.9
8.2,8.0,7.9,8.2
8.3,8.4,7.8,8.0
8.0,8.1,7.7,8.1
8.1,8.3,8.0,8.0
7.9,8.1,7.8,8.1
8.0,8.2,7.7,7.9
8.2,8.0,7.9,8.2
8.3,8.4,7.8,8.0
8.0,8.1,7.7,8.1
8.1,8.3,8.0,8.0
7.9,8.1,7.8,8.1
8.0,8.2,7.7,7.9
8.2,8.0,7.9,8.2
8.3,8.4,7.8,8.0
8.0,8.1,7.7,8.1
8.1,8.3,8.0,8.0
7.9,8.1,7.8,8.1
8.0,8.2,7.7,7.9
8.2,8.0,7.9,8.2
8.3,8.4,7.8,8.0
8.0,8.1,7.7,8.1
8.1,8.3,8.0,8.0
7.9,8.1,7.8,8.1
8.0,8.2,7.7,7.9
8.2,8.0,7.9,8.2
8.3,8.4,7.8,8.0
8.0,8.1,7.7,8.1
8.1,8.3,8.0,8.0
7.9,8.1,7.8,8.1
8.0,8.2,7.7,7.9
8.2,8.0,7.9,8.2
8.3,8.4,7.8,8.0
8.0,8.1,7.7,8.1
